Site,Season,Depth,Date,day,Temperature,AMPBEA,ARTIC,BOTOCI,CHALOM,CHRENT,CLAPRO,CODCAR,COLSIN,CRUST,DIOPTR,DICSP,CODERC,EUCISI,FILRED,FUZBRO,FUZGRE,GALOBT,GOORED,LOBVAR,PALCOR,RHOGRA,SARFIL,SOLFIL,SPOPEN,STRAPR,TUBRED,TURF,UDOCYA,UNGRE,UNRED,HALYSP,ZONPAD,,Total Algal Cover,Total Percent Cover,Algal Proportion,,Site,,Season
DallasRock,spring,16.5,1-May-12,330,19.67449375,0,0,0,0,0,0,0,0,0.285714286,0,0.571428571,0,0,3.142857143,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0.142857143,,65.14285714,67.85714286,0.96,,DallasRock,,
DallasRock,summer,16.5,8-Jun-12,368,23.982575,0,0,0,0,0,0,0,0,0.428571429,0,2.714285714,0,0,0.285714286,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,,81.42857143,81.57142857,0.998248687,,0.910486687,,
DallasRock,summer,16.5,21-Aug-12,442,25.74263958,0,0,0,0,0,0,0,0,0.428571429,0.573065903,2.002046664,0.143266476,0,20.03683995,0,0,0,0,0,0,0.142857143,17.74580434,0,0,0,0,0,0,0,1.858780188,0,2.001637331,,44.93286942,48.22267704,0.931778827,,,,
DallasRock,fall,16.5,27-Sep-12,479,25.11247083,0,0,0,0,0,0,0,0,1,0.428571429,1.285714286,0,0,0.285714286,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.142857143,,5.142857144,7.857142859,0.654545455,,reef200200,,
DallasRock,winter,16.5,26-Nov-12,539,14.245,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,2.142857143,0,0,0,0,0,0,0,26.14285714,0,0,0,0,0,0,0,0,0,1.142857143,,30.14285714,31.57142857,0.954751131,,0.938798989,,
DallasRock,winter,16.5,15-Feb-13,620,12.47425,0,0,0,0,0,0,0,0,0.182820856,0.091911765,0,0.181818182,0,20.46423797,0,3.033088235,0,0,0,0,0,33.88135027,0,0,0,0,0,0,0,0,0,0.367647059,,58.20287434,60.40173797,0.96359602,,,,
reef200200,summer,24,6-Jun-11,0,24.2414,4.022988506,0,0,0,0,0,0,2.153530378,0.142857143,4.590311987,2.437602627,0,0,10.73070608,0.143678161,0,0,0.431034483,0,0,0,20.23891626,0,10.42857143,0,0,2.434318555,0,0,1.428571429,0.142857143,17.33415435,,76.66009853,78.81280789,0.972685793,,mile23,,
reef200200,winter,24,22-Nov-11,169,18.3062,0.292397661,0,0,0,0,0,0,0,2.476953671,0,0,0,0,10.56086422,0,0,0,0,0,0,0,0.292397661,0,0,0,0,0,0,0,8.827544365,0,8.712944706,,31.16310228,39.32495745,0.792451011,,0.948612375,,
reef200200,spring,24,17-Apr-12,316,19.0703,1.857142857,0,0,0.571428571,0,0,0,0,0.286532951,1.14531314,0.142857143,0.142857143,0,21.88866148,0,1.862464183,0,0,0,0,1.285714286,15.29512894,0,0,0,0,0,0,0,0,0,14.45722472,,58.93532541,62.65329512,0.940658034,,,,
reef200200,summer,24,18-Jun-12,378,24.7283,6.154318461,0,0,0,0,0,0,0,1.286942284,6.730249693,1.146131805,0,0,13.1473598,0,0,0,0,0,0,0.716332378,13.43143676,17.47237004,0,0,0,0,1.431846091,0,0,0.429799427,8.718788375,,70.66557511,72.66966844,0.972421873,,CapDan,,
reef200200,summer,24,2-Jul-12,392,26.4035,16.02906263,0,0,0,0,0.285714286,0,0.142857143,4.296356938,3.288579615,0,0.143266476,0,9.291854278,0,0,0,0,0,0,0.429799427,25.75562833,7.732296357,0,0,0,0,1.002046664,0,0,0,17.58902988,,85.98649202,87.27548097,0.985230801,,0.91339034,,
reef200200,summer,24,17-Aug-12,438,24.758,8.635624221,0.143266476,0,0,0,1.434316243,0,0,3.299257657,11.95469972,0,0,0,4.447040949,0,0.43062517,0,0,0.716332378,0.144092219,0,38.93916749,0.288184438,0,0,0,0,0.43062517,0,5.027538542,0,8.606723203,,84.49749388,85.64858014,0.986560358,,,,
reef200200,fall,24,26-Sep-12,478,25.7527,24.85714286,0,0,0,0,1.571428571,0,0,2.571428571,1.857142857,0,0,0,9.571428571,0,0.285714286,0,0,0,0,0,14.14285714,0,0,0,0,0,0.142857143,0,4.428571429,0,16.85714286,,76.28571429,78,0.978021978,,DanSpot,,
reef200200,winter,24,27-Nov-12,540,16.34052083,26.14285714,0,0,0,0,0,0,0,1.285714286,0,0,0,0,1.285714286,0,0,0,0,0,0,0,4.571428571,0,0,0,0,0,0,0,7.857142857,0,6.428571429,,47.57142857,50.85714286,0.935393258,,0.651336534,,
reef200200,winter,24,29-Jan-13,603,15.5755,6,0,0,0,0,0,0,0,1.454545455,0,0,0,0,9.909090909,0,0,0,0,0,0,0,5.090909091,0,0,0,0,0,0,0,4.545454545,0,16,,43,48.54545455,0.88576779,,,,
mile23,summer,28,6-Jun-11,0,20.83710648,0.862068966,0,0,2.155172414,5.172413793,0,0,3.016420361,0.285714286,15.06978654,4.859605911,0.858784893,0,5.304597701,0,0,0,2.011494253,0,0,0,20.76436782,0,1,0,0,0,0,0,0.285714286,0.861247947,8.331691297,,70.83908047,73.13382595,0.968622652,,,,
mile23,summer,28,21-Jun-11,15,25.9824537,0.142857143,0,0,1.00286533,5.72984036,0,0,7.295947605,0,15.45927139,1.571428571,0.714285714,0,1.428571429,0,0,0,0.142857143,0,0,0,33.90667212,0,6.863692182,0,0.142857143,0,0.286532951,0,0,0.859598854,6.302906263,,81.8501842,82.27875563,0.994791226,,,,
mile23,winter,28,22-Nov-11,169,18.06858025,0.581395349,0,0,0,0,0,0,0,5.375415282,0,0,0,0,4.067275748,0,0,0,0,0.145348837,0,0.145348837,2.593853821,0,0,0,0,0,0,0,0.436046512,0,18.61046512,,31.95514951,34.86212625,0.916615047,,,,
mile23,spring,28,14-Apr-12,313,19.1834,0.436046512,0,0,1.453488372,0,0.581395349,0.28820598,0,2.325581395,2.428571429,0.145348837,0.290697674,0,13.76578073,0,2.901993355,0,0,0,0,3.052325581,4.789036545,0,0,0,0,0,0,0,0,0,4.470930233,,36.92940199,39.98172757,0.923656986,,,,
mile23,summer,28,18-Jun-12,378,24.437,1.288988948,0,0,0,0,0.285714286,0,0.428980761,0.859189521,8.878428162,0.429799427,1.289398281,0,2.576340565,0,0,0,0.286532951,0,0,0.286532951,14.31027425,12.03110929,0.857961523,0,0,0,0.142857143,0,0,0,10.87883749,,54.83094555,54.83094555,1,,,,
mile23,summer,28,17-Aug-12,438,23.621,0,0,0,0,0,0.142857143,0,0,0.428571429,17.78489327,0.859605911,0.431034483,0,0,0,0,0,0,0,0,0,14.06403941,16.78817734,0,0,0,0,0,0,0,0,15.20114943,,65.70032842,66.99343187,0.980698056,,,,
mile23,fall,28,26-Sep-12,478,26.0040625,0.142857143,0,0,0,0,0.142857143,0,0,0.714285714,26.85714286,0,3.857142857,0,3.857142857,0,0,0,0,0,0,0,10.14285714,1.714285714,0,0,0,0,0,0,0.142857143,0,7.714285714,,55.28571429,55.57142857,0.994858612,,,,
mile23,winter,28,27-Nov-12,540,17.1400625,2.285714286,0,0,0,0,0,0,0,1.571428571,0,0,0.571428571,0,0.285714286,0,0,0,0,0,0,0,2.285714286,0,0,0,0,0,0,0,0,0,19.28571429,,26.28571429,28.57142858,0.92,,,,
mile23,winter,28,29-Jan-13,603,16.3220625,1.727272727,0,0,0,0,0,0,0,1.090909091,0,0,0.181818182,0,11.09090909,0,0,0,0,0,0,1.545454545,1.181818182,0,0,0,0,0,0,0,0.090909091,0,16.54545455,,33.45454546,39.90909091,0.838268793,,,,
CapDan,summer,32,7-Jun-11,1,22.09623843,4.607675906,0,0,4.925373134,5.373134328,0.857142857,0,0,0.142857143,0.298507463,1.784648188,3.121535181,0,2.142857143,0,0,0,0,0.895522388,1.142857143,5.763326226,16.69936034,1.641791045,1,0,0,0,0.149253731,0,0,0.597014925,0.597014925,,51.73987207,53.81663113,0.96141046,,,,
CapDan,fall,32,26-Oct-11,142,23.72191358,0.438715131,0,0,0,0,0,2,0,5.407438715,0,0.295857988,0,0,1.571428571,0,0,0,0,0,0,1.17328825,18.85545224,0,0,0,0,0,0,0.857142857,1.030431107,0,3.234150465,,34.86390532,43.8317836,0.795402388,,,,
